id,codigo,nombre,marca,estado,categoria,costo
1,HER-001,Llave de Tubo,DeWalt,OPERATIVO,Manual,1718.49
2,HER-002,Llave Allen,Proto,OPERATIVO,Manual,436.66
3,HER-003,Destornillador Phillips,Stanley,OPERATIVO,Manual,1561.83
4,HER-004,Destornillador Plano,Snap-on,OPERATIVO,Manual,2086.19
5,HER-005,Martillo de Bola,Ingersoll Rand,OPERATIVO,Manual,577.94
6,HER-006,Alicate Universal,Hilti,OPERATIVO,Manual,215.03
7,HER-007,Llave Stilson,Hilti,MANTENIMIENTO,Manual,2440.96
8,HER-008,Torquímetro,Proto,OPERATIVO,Medición,1677.94
9,HER-009,Calibrador Digital,Ingersoll Rand,OPERATIVO,Medición,846.14
10,HER-010,Micrómetro,Milwaukee,MANTENIMIENTO,Medición,390.17
11,HER-011,Nivel de Burbuja,Proto,OPERATIVO,Medición,263.06
12,HER-012,Manómetro,Stanley,OPERATIVO,Medición,875.96
13,HER-013,Multímetro Digital,Bosch,INACTIVO,Medición,2439.89
14,HER-014,Taladro Industrial,Bosch,OPERATIVO,Eléctrica,2310.91
15,HER-015,Amoladora Angular,Bahco,INACTIVO,Eléctrica,2004.46
16,HER-016,Soldadora MIG,Proto,OPERATIVO,Soldadura,425.56
17,HER-017,Soldadora TIG,Bosch,INACTIVO,Soldadura,939.86
18,HER-018,Equipo Oxicorte,DeWalt,INACTIVO,Corte,317.51
19,HER-019,Compresor de Aire 100 PSI,Stanley,OPERATIVO,Neumática,469.61
20,HER-020,Pistola de Impacto,Bosch,INACTIVO,Neumática,2162.02
21,HER-021,Gato Hidráulico 20T,DeWalt,OPERATIVO,Hidráulica,2027.6
22,HER-022,Prensa Hidráulica,Stanley,MANTENIMIENTO,Hidráulica,1658.94
23,HER-023,Tecle 5T,Bahco,OPERATIVO,Elevación,806.79
24,HER-024,Eslinga de Cadena,Ingersoll Rand,INACTIVO,Elevación,2164.96
25,HER-025,Engrasadora Manual,Makita,OPERATIVO,Manual,836.02
26,HER-026,Extractor de Rodamientos,Bahco,INACTIVO,Manual,1203.67
27,HER-027,"Llave de Impacto 1""",Snap-on,OPERATIVO,Neumática,808.05
28,HER-028,Esmeril de Banco,Bahco,OPERATIVO,Eléctrica,256.27
29,HER-029,Sierra Sable,Makita,OPERATIVO,Eléctrica,1595.1
30,HER-030,Pinza Amperimétrica,Bahco,OPERATIVO,Medición,2296.03
31,HER-031,Tacómetro Digital,Makita,OPERATIVO,Medición,552.1
32,HER-032,Termómetro Infrarrojo,Hilti,OPERATIVO,Medición,1138.96
33,HER-033,"Juego de Dados 3/4""",Makita,OPERATIVO,Manual,2064.86
34,HER-034,Llave Dinamométrica,Makita,OPERATIVO,Medición,584.89
35,HER-035,Gata Lagarto,Milwaukee,INACTIVO,Hidráulica,1507.7
36,HER-036,Pluma Hidráulica,Snap-on,MANTENIMIENTO,Elevación,1237.47
37,HER-037,Mesa Elevadora,Bosch,OPERATIVO,Elevación,826.5
38,HER-038,Cizalla Manual,Proto,OPERATIVO,Corte,405.46
39,HER-039,Sierra Circular,Proto,MANTENIMIENTO,Eléctrica,1316.24
40,HER-040,Lijadora Orbital,Hilti,INACTIVO,Eléctrica,954.59
41,HER-041,Pistola de Calor,Hilti,OPERATIVO,Eléctrica,2060.55
42,HER-042,Cargador de Baterías,Milwaukee,OPERATIVO,Eléctrica,1263.11
43,HER-043,Probador de Inyectores,Proto,INACTIVO,Medición,894.51
44,HER-044,Analizador de Gases,Bahco,OPERATIVO,Medición,2449.26
45,HER-045,Estetoscopio Mecánico,Milwaukee,OPERATIVO,Medición,1472.51
46,HER-046,Comparador de Carátula,DeWalt,OPERATIVO,Medición,750.38
47,HER-047,Goniómetro,Milwaukee,MANTENIMIENTO,Medición,1686.98
48,HER-048,Remachadora Neumática,DeWalt,MANTENIMIENTO,Neumática,1745.98
49,HER-049,Taladro de Banco,Snap-on,OPERATIVO,Eléctrica,596.93
50,HER-050,Pistola de Pintar,Snap-on,OPERATIVO,Neumática,1658.16
51,HER-051,Llave Dinamométrica Pro,Proto,INACTIVO,Medición,1279.65
52,HER-052,Probador de Inyectores Pro,Ingersoll Rand,OPERATIVO,Medición,1896.5
53,HER-053,Remachadora Neumática Pro,Makita,OPERATIVO,Neumática,423.55
54,HER-054,Llave de Tubo Pro,Hilti,OPERATIVO,Manual,202.79
55,HER-055,Engrasadora Manual Pro,Ingersoll Rand,OPERATIVO,Manual,2350.92
56,HER-056,Compresor de Aire 100 PSI Pro,Bosch,INACTIVO,Neumática,289.98
57,HER-057,Remachadora Neumática Pro,Bosch,MANTENIMIENTO,Neumática,1496.14
58,HER-058,Pistola de Pintar Pro,DeWalt,MANTENIMIENTO,Neumática,1858.58
59,HER-059,Goniómetro Pro,Makita,MANTENIMIENTO,Medición,844.89
60,HER-060,Pinza Amperimétrica Pro,DeWalt,OPERATIVO,Medición,249.74
